weekNumber;numberOfGames;totalRevenue;averageRevenue;medianRevenue;averagePrice;averagePlayTime;top25;top5;bottom30
1;102;1477436,4080477327;14484,670667134635;279;6,285980392156869;5,363943781640067;2809;58574;40
2;117;80271863,04991163;686084,2995718943;516;6,068717948717955;6,717513262651606;6136;356204;49
3;150;246954068,6087902;1646360,4573919347;404;7,1520000000000055;4,563200392458559;5543;449783;121
4;141;8765687,998408312;62167,99998871143;380;8,33978723404256;5,801023945218227;4638;226282;74
5;142;115400437,2880063;812679,1358310303;269;7,046267605633809;3,4631213328643504;939;20853;67
6;144;13478340,470804062;93599,58660280598;599;9,883541666666675;4,106851785280702;7556;334065;109
7;144;147286618,42922756;1022823,739091858;258;6,9710416666666735;6,229240654256214;3340;116352;53
8;159;591841782,9208096;3722275,3642818215;465;11,158050314465415;6,79702525924078;3354;640506;60
9;184;11587503,124960488;62975,56046174178;450;6,833423913043484;4,100455164150777;3117;37139;80
10;162;7004061,564725894;43234,94793040675;263;10,467098765432105;10,768652052817899;3793;176600;40
11;166;20694037,12134727;124662,87422498356;446;8,786566265060248;5,576136520533163;3399;361231;85
12;127;18359138;144560,14173228346;258;8,621338582677172;3,335241958825738;2158;246698;53
13;163;32674461,67401654;200456,82008599103;1272;7,457668711656448;7,417906137695344;24162;373412;128,6884521000937
14;125;37460768,64010128;299686,1491208102;252;6,772480000000006;7,369273935055102;2318;111866;35
15;128;9202883;71897,5234375;283;8,988359375000007;6,671929392221684;10230;148114;56
16;148;4220577,24226653;28517,413799098176;404;6,849797297297304;4,296477836963375;3197;102207,1985551293;53
17;149;22795919,11480935;152992,74573697548;620;9,736979865771819;7,277043728692183;10778;168506;107
18;161;14493180,701655235;90019,75591090208;391;7,283167701863361;5,6737648487742;5331;186234;80
19;161;19493755,665098015;121079,22773352804;426;6,395714285714291;4,560216811557134;2947;70624;50
20;176;28109819,465099398;159714,8833244284;270;9,490965909090916;4,370756770059449;2531;211721;51
21;161;38526344,31215584;239294,0640506574;557;9,975900621118019;5,662821354361944;7113;366010;53
22;176;22691099,455183584;128926,70144990673;269;6,617102272727279;5,52505838911291;2603;260338;40
23;119;17496716,73085326;147031,23303238032;253;7,781848739495805;5,960311799101979;3080;423992;46
24;153;51942980,79915437;339496,6065304207;336;8,763071895424844;3,957249529827544;3928;287424;49
25;172;54258899,003945515;315458,7151392181;301;9,624941860465123;5,848413381803917;3165;169308;48
26;132;21078850,24757819;159688,2594513499;350;7,317651515151522;3,8304354185831406;1958;578841;53
27;122;8180265,956978795;67051,36030310488;458;9,286311475409843;4,861155860377666;3537;181088;72
28;174;30660402,0335273;176209,20708923734;655;8,002126436781616;4,595825158545203;11359;837774;80
29;181;80854839,65552889;446711,8213012646;231;8,078453038674038;5,18136624659806;3804;346946;53
30;170;16718637,892680036;98344,9287804708;366;10,615411764705888;4,126701603785748;4302;236808;26
31;190;39485110,74351049;207816,37233426576;276;6,665947368421058;5,139701447685511;2976;321339;40
32;160;153051445,59548587;956571,5349717867;311;7,148562500000006;5,463490793038248;3499;327370;33
33;153;20479524,16141949;133853,09909424503;292;9,521372549019615;6,202662607369868;2933;469602;21
34;143;59830021,88474045;418391,7614317514;636;7,1244055944056015;6,457057692654308;5233;827557;70
35;200;28657407,180015363;143287,03590007682;352;8,626850000000006;4,981831341131972;3137;415091;60
36;151;21766084,63707007;144146,25587463623;261;7,600728476821199;5,070391082438513;5470;460588;40
37;170;49494189,45207548;291142,2908945617;374;9,326941176470596;5,440549236525171;9882;1163385,07988546;67
38;148;64042198,18273154;432717,55528872664;385;8,004662162162168;4,40370351334642;6292;1377570;53
39;167;40482425,671190605;242409,73455802756;459;10,030538922155696;7,257749171060221;7364;393464;52
40;163;12212148,256176565;74921,15494586849;197;7,2312883435582895;3,9447734428725694;2485;43157;22
41;182;62013885,71318954;340735,6357867557;307;8,500164835164842;5,108209180797815;10396;1644193;41
42;172;129717960,2937546;754174,1877543873;467;9,058546511627913;5,77474009284171;5406;2066553;84
43;197;546274821,6266634;2772968,6376987994;560;10,815989847715727;4,693544491543485;5852;434939;129
44;206;12022717,937219873;58362,70843310618;258;6,854757281553404;3,8612005951755872;4464;257058;40
45;170;72183283,41548364;424607,5495028449;353;7,162000000000006;5,903273778761824;3417;173643;79
46;198;36858429,060599014;186153,68212423744;471;13,387474747474693;7,359458597547056;8038;897866;127
47;172;13576997,287077786;78936,03073882434;159;7,1958720930232625;5,286558035776032;1438;79088;39
48;220;130471576,294117;593052,6195187137;228;7,725909090909098;4,646129509244653;2718;80485;45
49;177;70626633,68695271;399020,52930481755;319;7,330847457627125;4,946747490105027;5254;670029;42
50;176;47273911,627146766;268601,7706087884;442;9,52863636363637;4,903234714337174;6028;1266335;40
51;177;4579555,398650146;25873,194342656192;134;7,663333333333341;4,647296879184679;932;178842;24
52;109;468506,68324422237;4298,226451781857;215;7,029449541284409;3,8691014765979013;777;12610;67
53;111;2227843,568638771;20070,662780529467;193;6,667657657657664;3,7454765792130846;1785;40343;34
